threshold,precision,recall,f1
0.1,0.3672316384180791,0.8227848101265823,0.5078125
0.10500000000000001,0.37572254335260113,0.8227848101265823,0.5158730158730159
0.11,0.3764705882352941,0.810126582278481,0.5140562248995983
0.115,0.38095238095238093,0.810126582278481,0.5182186234817814
0.12000000000000001,0.38323353293413176,0.810126582278481,0.5203252032520326
0.125,0.3950617283950617,0.810126582278481,0.5311203319502075
0.13,0.4,0.810126582278481,0.5355648535564853
0.135,0.4050632911392405,0.810126582278481,0.540084388185654
0.14,0.4129032258064516,0.810126582278481,0.5470085470085471
0.14500000000000002,0.42105263157894735,0.810126582278481,0.5541125541125541
0.15000000000000002,0.423841059602649,0.810126582278481,0.5565217391304348
0.155,0.4266666666666667,0.810126582278481,0.5589519650655022
0.16,0.42953020134228187,0.810126582278481,0.5614035087719298
0.165,0.43537414965986393,0.810126582278481,0.5663716814159292
0.17,0.4383561643835616,0.810126582278481,0.5688888888888889
0.175,0.44755244755244755,0.810126582278481,0.5765765765765766
0.18,0.45714285714285713,0.810126582278481,0.5844748858447488
0.185,0.460431654676259,0.810126582278481,0.5871559633027523
0.19,0.463768115942029,0.810126582278481,0.5898617511520737
0.195,0.4740740740740741,0.810126582278481,0.5981308411214953
0.2,0.4740740740740741,0.810126582278481,0.5981308411214953
0.20500000000000002,0.48120300751879697,0.810126582278481,0.6037735849056604
0.21000000000000002,0.48484848484848486,0.810126582278481,0.6066350710900474
0.21500000000000002,0.48854961832061067,0.810126582278481,0.6095238095238096
0.22,0.48854961832061067,0.810126582278481,0.6095238095238096
0.225,0.48854961832061067,0.810126582278481,0.6095238095238096
0.23,0.48854961832061067,0.810126582278481,0.6095238095238096
0.23500000000000001,0.48854961832061067,0.810126582278481,0.6095238095238096
0.24000000000000002,0.49230769230769234,0.810126582278481,0.6124401913875598
0.245,0.4883720930232558,0.7974683544303798,0.6057692307692307
0.25,0.49606299212598426,0.7974683544303798,0.6116504854368932
0.255,0.49606299212598426,0.7974683544303798,0.6116504854368932
0.26,0.5,0.7974683544303798,0.6146341463414634
0.265,0.5121951219512195,0.7974683544303798,0.6237623762376238
0.27,0.5163934426229508,0.7974683544303798,0.6268656716417911
0.275,0.5206611570247934,0.7974683544303798,0.63
0.28,0.5294117647058824,0.7974683544303798,0.6363636363636364
0.28500000000000003,0.5338983050847458,0.7974683544303798,0.6395939086294417
0.29000000000000004,0.5338983050847458,0.7974683544303798,0.6395939086294417
0.29500000000000004,0.5338983050847458,0.7974683544303798,0.6395939086294417
0.30000000000000004,0.5338983050847458,0.7974683544303798,0.6395939086294417
0.30500000000000005,0.5384615384615384,0.7974683544303798,0.6428571428571429
0.31,0.5478260869565217,0.7974683544303798,0.6494845360824743
0.315,0.5478260869565217,0.7974683544303798,0.6494845360824743
0.32,0.5478260869565217,0.7974683544303798,0.6494845360824743
0.325,0.5478260869565217,0.7974683544303798,0.6494845360824743
0.33,0.5478260869565217,0.7974683544303798,0.6494845360824743
0.335,0.5526315789473685,0.7974683544303798,0.6528497409326425
0.33999999999999997,0.5575221238938053,0.7974683544303798,0.65625
0.345,0.5575221238938053,0.7974683544303798,0.65625
0.35,0.5625,0.7974683544303798,0.6596858638743456
0.355,0.5675675675675675,0.7974683544303798,0.6631578947368421
0.36,0.5675675675675675,0.7974683544303798,0.6631578947368421
0.365,0.5675675675675675,0.7974683544303798,0.6631578947368421
0.37,0.5675675675675675,0.7974683544303798,0.6631578947368421
0.375,0.5675675675675675,0.7974683544303798,0.6631578947368421
0.38,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.385,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.39,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.395,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.4,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.405,0.5779816513761468,0.7974683544303798,0.6702127659574468
0.41000000000000003,0.5833333333333334,0.7974683544303798,0.6737967914438503
0.41500000000000004,0.5833333333333334,0.7974683544303798,0.6737967914438503
0.42000000000000004,0.5833333333333334,0.7974683544303798,0.6737967914438503
0.42500000000000004,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.43000000000000005,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.43500000000000005,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.44000000000000006,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.44500000000000006,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.45000000000000007,0.5887850467289719,0.7974683544303798,0.6774193548387096
0.45499999999999996,0.6,0.7974683544303798,0.6847826086956522
0.45999999999999996,0.6,0.7974683544303798,0.6847826086956522
0.46499999999999997,0.6,0.7974683544303798,0.6847826086956522
0.47,0.6057692307692307,0.7974683544303798,0.6885245901639344
0.475,0.6057692307692307,0.7974683544303798,0.6885245901639344
0.48,0.6057692307692307,0.7974683544303798,0.6885245901639344
0.485,0.6057692307692307,0.7974683544303798,0.6885245901639344
0.49,0.6116504854368932,0.7974683544303798,0.6923076923076923
0.495,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.5,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.505,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.51,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.515,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.52,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.525,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.53,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.535,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.54,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.545,0.6176470588235294,0.7974683544303798,0.6961325966850829
0.55,0.63,0.7974683544303798,0.7039106145251397
0.555,0.63,0.7974683544303798,0.7039106145251397
0.56,0.63,0.7974683544303798,0.7039106145251397
0.5650000000000001,0.6363636363636364,0.7974683544303798,0.7078651685393258
0.5700000000000001,0.6363636363636364,0.7974683544303798,0.7078651685393258
0.5750000000000001,0.6363636363636364,0.7974683544303798,0.7078651685393258
0.58,0.6363636363636364,0.7974683544303798,0.7078651685393258
0.585,0.6363636363636364,0.7974683544303798,0.7078651685393258
0.59,0.6428571428571429,0.7974683544303798,0.711864406779661
0.595,0.6428571428571429,0.7974683544303798,0.711864406779661
0.6,0.6428571428571429,0.7974683544303798,0.711864406779661
0.605,0.65625,0.7974683544303798,0.72
0.61,0.6631578947368421,0.7974683544303798,0.7241379310344828
0.615,0.6631578947368421,0.7974683544303798,0.7241379310344828
0.62,0.6631578947368421,0.7974683544303798,0.7241379310344828
0.625,0.6631578947368421,0.7974683544303798,0.7241379310344828
0.63,0.6702127659574468,0.7974683544303798,0.7283236994219653
0.635,0.6702127659574468,0.7974683544303798,0.7283236994219653
0.64,0.6702127659574468,0.7974683544303798,0.7283236994219653
0.645,0.6702127659574468,0.7974683544303798,0.7283236994219653
0.65,0.6774193548387096,0.7974683544303798,0.7325581395348837
0.655,0.6774193548387096,0.7974683544303798,0.7325581395348837
0.66,0.6774193548387096,0.7974683544303798,0.7325581395348837
0.665,0.6774193548387096,0.7974683544303798,0.7325581395348837
0.67,0.6847826086956522,0.7974683544303798,0.7368421052631579
0.675,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.6799999999999999,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.6849999999999999,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.69,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.695,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.7,0.6923076923076923,0.7974683544303798,0.7411764705882353
0.705,0.7,0.7974683544303798,0.7455621301775148
0.71,0.7,0.7974683544303798,0.7455621301775148
0.715,0.7,0.7974683544303798,0.7455621301775148
0.72,0.7,0.7974683544303798,0.7455621301775148
0.725,0.7,0.7974683544303798,0.7455621301775148
0.73,0.7,0.7974683544303798,0.7455621301775148
0.735,0.7,0.7974683544303798,0.7455621301775148
0.74,0.7,0.7974683544303798,0.7455621301775148
0.745,0.7,0.7974683544303798,0.7455621301775148
0.75,0.7078651685393258,0.7974683544303798,0.75
0.755,0.7078651685393258,0.7974683544303798,0.75
0.76,0.7078651685393258,0.7974683544303798,0.75
0.765,0.7078651685393258,0.7974683544303798,0.75
0.77,0.7159090909090909,0.7974683544303798,0.7544910179640718
0.775,0.7159090909090909,0.7974683544303798,0.7544910179640718
0.78,0.7159090909090909,0.7974683544303798,0.7544910179640718
0.785,0.7325581395348837,0.7974683544303798,0.7636363636363637
0.79,0.75,0.7974683544303798,0.7730061349693251
0.795,0.75,0.7974683544303798,0.7730061349693251
0.8,0.75,0.7974683544303798,0.7730061349693251
0.8049999999999999,0.75,0.7974683544303798,0.7730061349693251
0.8099999999999999,0.7590361445783133,0.7974683544303798,0.7777777777777778
0.815,0.7590361445783133,0.7974683544303798,0.7777777777777778
0.82,0.7590361445783133,0.7974683544303798,0.7777777777777778
0.825,0.7682926829268293,0.7974683544303798,0.782608695652174
0.83,0.7682926829268293,0.7974683544303798,0.782608695652174
0.835,0.7682926829268293,0.7974683544303798,0.782608695652174
0.84,0.7682926829268293,0.7974683544303798,0.782608695652174
0.845,0.7777777777777778,0.7974683544303798,0.7875
0.85,0.7777777777777778,0.7974683544303798,0.7875
0.855,0.7777777777777778,0.7974683544303798,0.7875
