,F1,Recall,Precision,PR_AUC,ROC_AUC
Isolation Forest,0.3283582089552239,0.336734693877551,0.32038834951456313,0.19421646297328982,0.9542013238891505
One-Class SVM,0.13333333333333333,0.8469387755102041,0.07236268526591107,0.34518087428887456,0.9456034735222171
Random Forest + SMOTE,0.7256637168141593,0.8367346938775511,0.640625,0.8433850673683752,0.9822871326358343
XGBoost + SMOTE + Threshold,0.5117647058823529,0.8877551020408163,0.359504132231405,0.8586512410873072,0.9801210263227407
